date,ticker,score,weight,bm_weight,active_weight,grp_Accounting,grp_Price,grp_Sellside,grp_Conditioning,grp_Factor
2018-12-21,MU,-0.3305,0.0001,0.02,-0.0199,-0.4129,-0.2689,-1.0398,-0.0123,-0.0762
2018-12-21,GEV,-0.3486,0.0051,0.02,-0.0149,-0.1429,-0.3308,-0.1534,0.0923,-0.0762
2018-12-21,VRT,-0.3486,0.0001,0.02,-0.0199,-0.1245,-0.0998,0.6397,0.0949,-0.0762
2018-12-21,BE,2.8962,0.0601,0.02,0.0401,0.0555,0.2031,-0.5717,0.1276,-0.0762
2018-12-21,LITE,-0.9198,0.0,0.02,-0.02,0.1252,-0.1524,-0.504,0.1504,-0.0762
2018-12-21,000660,-0.5662,0.0001,0.02,-0.0199,-0.3967,-0.2625,-0.7932,0.1856,-0.0762
2018-12-21,005930,-0.049,0.0276,0.02,0.0076,-0.2488,-0.3469,-0.6092,0.247,-0.0762
2018-12-21,UNH,-0.1279,0.0307,0.02,0.0107,-0.0482,0.2117,0.1986,0.2186,-0.0762
2018-12-21,LLY,4.707,0.0755,0.02,0.0555,0.2986,0.4701,0.6308,0.1398,-0.0762
2018-12-21,ISRG,-0.0278,0.0068,0.02,-0.0132,-0.0268,0.275,0.6085,0.1945,-0.0762
2018-12-21,ABBV,-0.0362,0.0171,0.02,-0.0029,0.1163,0.0284,0.0731,0.1712,-0.0762
2018-12-21,REGN,-0.473,0.0045,0.02,-0.0155,-0.0694,0.2072,0.3545,0.1398,-0.0762
2018-12-21,JPM,-0.1864,0.042,0.02,0.022,-0.1013,-0.23,0.0923,0.2224,-0.0762
2018-12-21,V,0.0724,0.0403,0.02,0.0203,0.1753,0.1572,-0.0815,0.1741,-0.0762
2018-12-21,MA,-0.0683,0.0242,0.02,0.0042,0.3616,0.2395,0.1541,0.1632,-0.0762
2018-12-21,BLK,0.5491,0.008,0.02,-0.012,-0.0652,-0.4562,-0.6813,0.2159,-0.0762
2018-12-21,SPGI,0.7793,0.0055,0.02,-0.0145,0.1841,-0.2282,-0.4253,0.1578,-0.0762
2018-12-21,GS,-0.1331,0.0082,0.02,-0.0118,-0.0849,-0.7628,0.0896,0.2159,-0.0762
2018-12-21,COST,0.2763,0.031,0.02,0.011,-0.0725,0.0477,-0.0155,0.0085,-0.0762
2018-12-21,HD,-0.4188,0.0243,0.02,0.0043,0.504,-0.2874,0.386,0.0974,-0.0762
2018-12-21,PG,0.1927,0.0304,0.02,0.0104,-0.1272,0.3859,0.0301,0.1956,-0.0762
2018-12-21,MCD,-0.2014,0.0004,0.02,-0.0196,-0.1199,0.2506,0.6903,0.1755,-0.0762
2018-12-21,WMT,0.1191,0.0339,0.02,0.0139,-0.0313,-0.0915,0.1731,0.1018,-0.0762
2018-12-21,CAT,-0.434,0.0095,0.02,-0.0105,0.0232,-0.0554,-0.1278,0.1795,-0.0762
2018-12-21,HON,0.0435,0.0128,0.02,-0.0072,-0.0158,-0.2565,-0.8747,0.1768,-0.0762
2018-12-21,DE,-0.4188,0.0061,0.02,-0.0139,-0.015,0.2649,-0.1908,0.0931,-0.0762
2018-12-21,UNP,-0.473,0.0095,0.02,-0.0105,-0.0811,-0.05,0.1371,0.1856,-0.0762
2018-12-21,LMT,-0.8721,0.0002,0.02,-0.0198,0.132,-0.3349,0.57,0.1775,-0.0762
2018-12-21,ETN,-0.2954,0.0039,0.02,-0.0161,-0.0906,-0.2935,-0.2891,0.1632,-0.0762
2018-12-21,XOM,-0.3544,0.0385,0.02,0.0185,-0.2609,-0.293,-0.3821,0.1563,-0.0762
2018-12-21,LNG,-1.3877,0.0,0.02,-0.02,0.0479,0.0847,0.3057,0.1071,-0.0762
2018-12-21,FCX,-1.5369,0.0,0.02,-0.02,-0.6395,-0.4872,-0.7138,0.1869,-0.0762
