date,ticker,Accounting,Price,Sellside,Conditioning,Factor,MacroCross,Financials,total
2019-08-16,MPC,0.0005,0.0059,0.0006,0.0002,0.0001,-0.0004,0.0017,0.0087
2019-08-16,LRCX,-0.0022,-0.0008,-0.0014,0.0001,0.0002,-0.0001,0.0013,-0.003
2019-08-16,AMAT,-0.0009,0.0006,0.0001,0.0001,0.0002,0.0,-0.0004,-0.0003
2019-08-16,PANW,0.0051,-0.0001,-0.0045,0.0001,0.0003,-0.0004,0.001,0.0015
2019-08-16,FN,-0.0064,-0.0088,0.0003,0.0001,0.0001,-0.0,0.0006,-0.0141
2019-08-16,MPWR,-0.0053,-0.0009,-0.0015,0.0001,0.0002,-0.0001,0.001,-0.0065
2019-08-16,BAC,-0.0037,0.0014,0.0005,0.0001,0.0003,-0.0,-0.0,-0.0015
2019-08-16,CSCO,-0.0015,0.0002,0.0008,0.0001,0.0002,0.0001,-0.0008,-0.0009
2019-08-16,INTC,0.0011,0.0006,-0.0003,0.0001,0.0003,0.0002,0.0,0.0019
2019-08-16,ORCL,-0.0054,0.0013,0.0,0.0001,0.0002,0.0001,0.0003,-0.0033
2019-08-16,TSM,-0.0005,0.0006,0.0003,0.0001,0.0002,-0.0001,0.0002,0.001
2020-05-07,AAPL,-0.0009,-0.0005,-0.0002,0.0,-0.0,0.0,0.0,-0.0015
2020-05-07,MSFT,0.002,-0.0017,0.0001,0.0,-0.0,-0.0,-0.0001,0.0002
2020-05-07,GOOGL,0.0023,-0.0009,0.0001,0.0,-0.0,-0.0,-0.0001,0.0014
2020-05-07,AMZN,-0.0005,0.0002,-0.0001,0.0,-0.0,-0.0,0.0,-0.0004
2020-05-07,META,0.0014,-0.001,0.0001,0.0,-0.0,-0.0,-0.0,0.0005
2020-05-07,NVDA,0.0026,-0.0009,0.0003,0.0001,-0.0,0.0,-0.0,0.002
2020-05-07,TSLA,-0.0061,-0.008,-0.003,0.0,-0.0,0.0001,-0.0006,-0.0175
2020-05-07,PLTR,0.0025,-0.0006,0.0001,0.0,-0.0,0.0001,-0.0001,0.002
2020-05-07,AVGO,0.0013,0.0005,-0.0,0.0,0.0,-0.0,-0.0,0.0017
2020-05-07,MU,0.0006,0.0008,-0.0,0.0,0.0,-0.0,0.0,0.0015
2020-05-07,GEV,-0.0002,0.0005,0.0,0.0,-0.0,0.0,0.0,0.0003
2020-05-07,VRT,-0.0009,-0.0045,-0.0004,0.0,-0.0,-0.0001,0.0004,-0.0054
2020-05-07,BE,0.0056,0.0023,0.0005,0.0003,-0.0005,-0.0,-0.0007,0.0075
2020-05-07,LITE,0.0018,-0.0014,-0.0003,0.0,-0.0,-0.0,-0.0003,-0.0002
2020-05-07,000660,0.0004,0.001,0.0001,0.0,-0.0,-0.0,0.0002,0.0016
2020-05-07,005930,-0.0001,-0.0001,-0.0,0.0,-0.0,-0.0,0.0,-0.0002
2020-05-07,UNH,-0.0005,-0.0001,0.0,0.0,-0.0,0.0,0.0,-0.0005
2020-05-07,LLY,0.0021,-0.0009,0.0001,0.0,-0.0,0.0001,-0.0002,0.0013
2020-05-07,ISRG,0.0017,-0.0009,0.0002,0.0,0.0,-0.0001,-0.0001,0.001
2020-05-07,ABBV,0.0036,-0.001,0.0004,0.0,-0.0,-0.0001,0.0024,0.0053
2020-05-07,REGN,0.002,-0.0008,0.0001,0.0,-0.0,-0.0,-0.0003,0.001
2020-05-07,JPM,0.0008,0.0031,-0.0,0.0,0.0,0.0,0.0003,0.0042
2020-05-07,V,0.0014,-0.0003,-0.0,0.0,0.0,-0.0,-0.0,0.0011
2020-05-07,MA,0.001,0.0001,-0.0,0.0,0.0,0.0001,0.0001,0.0012
2020-05-07,BLK,0.0001,0.0004,0.0001,0.0,-0.0,-0.0,0.0,0.0006
2020-05-07,SPGI,0.0021,-0.0009,0.0001,0.0,-0.0,-0.0,-0.0002,0.001
