feature,importance,group
fac_F_Quality_vol_21d,1.75,Factor
is_mid_cap,1.75,Conditioning
analyst_rec_diff_5d,1.75,Sellside
sales_rev_momentum,1.75,Sellside
fac_F_Value_vol_63d,1.75,Factor
fac_F_Growth_vol_21d,1.75,Factor
fac_cesi_chg,1.75,Factor
fac_F_SmCap_mom_21d,1.75,Factor
fac_F_Value_accel,1.625,Factor
fac_copper_gold,1.625,Factor
fac_F_HiBeta_mom_63d,1.625,Factor
fac_F_Quality_accel,1.625,Factor
fac_value_growth_63d,1.625,Factor
fac_qual_growth_21d,1.625,Factor
fac_yield_slope_chg,1.5,Factor
fac_NDX_mom_21d,1.5,Factor
fac_F_SmCap_mom_63d,1.5,Factor
sales_rev_diff_5d,1.5,Sellside
fac_value_growth_21d,1.375,Factor
fac_risk_on_off_21d,1.375,Factor
sales_rev_adj_diff_5d,1.375,Sellside
fac_F_Growth_accel,1.25,Factor
sector_Consumer Discretionary,1.25,Conditioning
sector_Energy,1.25,Conditioning
fac_F_Value_mom_21d,1.125,Factor
is_bull_market,1.125,Conditioning
fac_GOLD_mom_21d,1.125,Factor
fac_SPX_mom_21d,1.125,Factor
fac_em_dev_spread,1.125,Factor
fac_F_SmCap_accel,1.125,Factor
fac_F_SmCap_vol_21d,1.0,Factor
eps_rev_adj_diff_5d,1.0,Sellside
eps_rev_diff_5d,1.0,Sellside
is_mega_cap,1.0,Conditioning
fac_F_HiBeta_mom_21d,1.0,Factor
fac_vrp_proxy,0.875,Factor
fac_aaii_chg,0.75,Factor
eps_rev_momentum,0.75,Sellside
fac_F_HiBeta_accel,0.75,Factor
sector_Materials,0.625,Conditioning
is_bear_market,0.625,Conditioning
fac_cesi_level,0.5,Factor
sector_Real Estate,0.5,Conditioning
is_small_cap,0.5,Conditioning
fac_GS_SemiHW_mom,0.375,Factor
sector_Industrials,0.375,Conditioning
news_surprise,0.375,Sellside
news_raw,0.25,Sellside
fac_SKEW_chg,0.25,Factor
news_accel,0.25,Sellside
fac_aaii_spread,0.25,Factor
news_rank,0.25,Sellside
is_low_vol,0.25,Conditioning
cal_is_yr_end,0.25,Conditioning
fac_usd_strong,0.125,Factor
is_trending,0.125,Conditioning
sent_momentum,0.125,Sellside
fac_GS_AI_mom,0.125,Factor
fac_VIX_chg_5d,0.125,Factor
fac_SKEW_level,0.0,Factor
is_rev_expansion,0.0,Conditioning
is_high_dispersion,0.0,Conditioning
sector_Consumer Staples,0.0,Conditioning
cal_is_monday,0.0,Conditioning
cal_is_friday,0.0,Conditioning
sent_momentum_rank,0.0,Sellside
sent_momentum_diff,0.0,Sellside
fac_curve_inverted,0.0,Factor
fac_curve_steep,0.0,Factor
sector_Utilities,0.0,Conditioning
fac_VIX_elevated,0.0,Factor
fac_VIX_level,0.0,Factor
fac_VIX_panic,0.0,Factor
